id,Nama Franchise,Alamat Cabang Pertama,Deskripsi,Kategori,No. Whatsapp,Jenis Franchise,Fasilitas,Harga,Popularity Score,Target Market,Market Size,Risk rate (1-10),Return of Investment% (ROI) ((pendapatan-harga(investasi))/(harga(investasi))×100%,Pendapatan/3bulan,user potential,market share (Penjualan Perusahaan/Total Penjualan Pasar),harga jual produk,kuantitas pembelian/tahun
1,Algorithmics,"Jl. Diponegoro, Kota Semarang, 67890","Algorithmics – international programming school for children with over 500 franchisees across the globe. We combine offline and online learning to make programming simple, exciting and fun for children to study.",Education,+62 066-221-8729,Product,"Rental of location and venue for one year, along with interior decoration, complete teaching equipment and supplies, promotional banners, employee training, human resources, teaching and lesson materials.","Rp70,000,000",1,Junior high school students,"Rp45,000,000,000",7,-29%,"Rp50,000,000",50000,30.00%,"Rp250,000",12
2,Sure coffe ,"Jl. Diponegoro, Kota Bandung, 43210","franchise toast and coffe drinks - sure coffee, the contemporary beverage business opens up franchise/franchise partnership business opportunities for cheap coffee drinks with prices starting at 7 million. sure coffee brings the coffee to go concept where real premium espresso coffee is mixed with milk and palm sugar. there is also dalgona coffee which is specially formulated by sure coffee so that it provides a different experience in enjoying coffee",Beverages,+62 482-107-8717,Product,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp14,200,000",2,Workers,"Rp2,250,000,000",3,55%,"Rp22,000,000",150000,5.00%,"Rp50,000",6
3,Kentucky fried chicken (KFC),"Jl. Diponegoro, Kota Bandung, 12345","When one thinks of the best restaurant to get crispy and freshly-made chicken, the mind instantly goes to KFC. It is one of the giants in the fast food industry. And, the brand’s logo with Colonel Sanders on a bucket is known to almost every person in the world. Ambitious and enthusiastic entrepreneurs should consider filling a KFC franchise application.",Restaurant,+62 600-847-7396,Product,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp250,000,000",10,High school students,"Rp5,400,000,000",6,-10%,"Rp225,000,000",300000,10.00%,"Rp30,000",6
4,Fremilt Thai Tea,"Jl. Raya, Kota Jakarta, 98765",fremilt provides thai tea drink business packages with various package prices. fremilt has been established since 2015 with its main Product thai tea various flavors. contact fremilt for more information about cooperation.,Beverages,+62 613-235-7754,Product,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp7,000,000",4,Elementary school student,"Rp270,000,000",2,43%,"Rp10,000,000",150000,3.00%,"Rp10,000",6
5,Mail boxes etc,"Jl. Surya, Kota Surabaya, 98765","Is one of the world’s largest networks of Service Centers, owned and managed by independent entrepreneurs, who provide shipping, fulfillment, print and marketing solutions to businesses and individuals with a focus on delivering the highest standard of customer service.",Manufacturer & Expedition,+62 243-802-8726,Services,"Machinery and equipment, Operational training, Production efficiency consultation, Quality control standards, Supply chain management support, Packaging materials, Branding and marketing assistance, Logistics and expedition coordination, Occupational health and safety guidelines, Regulatory compliance guidance","Rp30,000,000",4,Junior high school students,"Rp1,200,000,000",5,-17%,"Rp25,000,000",100000,20.00%,"Rp20,000",3
6,Lima Warna,"Jl. Diponegoro, Kota Surabaya, 67890","five colors brings the concept of dalgona coffee and with various flavors such as green tea, banana, red velvet, taro, and others. five colors opens a cheap beverage franchise partnership package starting at 5 million. with this price, partners can get a complete package of booths, equipment, equipment, and initial raw materials.",Beverages,+62 486-351-6998,Product,"Portable Booth, Straws, Flasks, Shakers, Jars, Liquid Bottles, Stainless Cokes, Cheese Graters, Knives, Water Holder, Irus, Sloki, Kanebo, Scales, Cup Sealer, Banner Stand, Menu Paper","Rp8,900,000",4,College students,"Rp270,000,000",4,24%,"Rp11,000,000",150000,3.00%,"Rp15,000",4
7,Jollibee,"Jl. Pahlawan, Kota Medan, 12345","Jollibee is a Filipino multinational chain of fast food restaurants owned by Jollibee Foods Corporation (JFC). At present, there are more than 1000 Jollibee stores worldwide and more than half of these are operated by franchisees. However, demand does not wane and opportunities still abound in various markets both domestic and international. The company is looking for a franchisee that is goal–driven, self motivated and knows how to lead his people, and has a strong inter personal skills.",Restaurant,+62 819-368-4903,Product,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp233,000,000",8,High school students,"Rp4,050,000,000",3,-6%,"Rp220,000,000",300000,9.00%,"Rp30,000",5
8,yago ayam geprek korea,"Jl. Merdeka, Kota Bandung, 43210","yago opens a geprek chicken franchise with a virtual franchise concept starting at 1 million. yago is part of samwon house which has experience in the culinary business since 2010. the presence of yago brings a fresh geprek chicken business concept, which combines geprek chicken with Korean kimchi.",Restaurant,+62 177-040-4351,Product,"Rental of location and venue for one year, decoration, complete equipment and cooking utensils, banners, employee training, business finance","Rp13,100,000",6,Junior high school students,"Rp525,000,000",3,15%,"Rp15,000,000",150000,5.00%,"Rp10,000",7
9,Tendata,"Jl. Surya, Kota Medan, 54321","Tendata is a 15-years trade data service provider, focusing on global trade data and market analysis service in the field of international trade. Tendata provides global buyers information and analysis service for all exporters/manufacturers, brings global active buyers directly to local sellers, which makes international trade so easy for all sellers.",Services & Repair,+62 937-694-7700,Services,"Produk training, regular remote training, sales programs training, sales skills training, one-on-one franchisee manager, assistance of local market info collection, assistance of sales plan and strategy, ready to use sales script, B2B inquiries, marketing materials, succesful case sharing","Rp70,000,000",3,High school students,"Rp900,000,000",2,0%,"Rp70,000,000",50000,12.00%,"Rp75,000",2
10,clothes laundry,"Jl. Pahlawan, Kota Semarang, 43210","clothes laundry opens a laundry business package partnership with various investment packages. you don't need to bother preparing laundry equipment and equipment, by partnering with clothes laundry, you can immediately open a laundry business.",Cleaning services,+62 685-867-3120,Services,"Full set training, promotion kit, 30 liters clothes detergen, 15 liters clothes softener, 5 liters clothes parfum, 1 pack packing plastic, complete washing equipment","Rp17,300,000",6,All ages,"Rp360,000,000",3,45%,"Rp25,000,000",75000,3.00%,"Rp20,000",8
